Alfokdral Earthheart
Rabead Lavafury
Dwonom Mudstone
Yundrorli Metalfury
Gloriznaem Orcforged
Horbek Gravelfall
Bogrir Thundermaul
Krasgraeck Goldenshield
Novil Oakgranite
Groutouc Blessedfury
Thrassorlim Copperhead
Firseth Bottleborn
Grousserlig Flatbrand
Thrandrulir Hardbrand
Krammut Leatherfinger
Doldrean Trollchin
Thakoir Gravelback
Snandrat Beastbasher
Yothaes Dragonriver
Norardroic Lavaguard
Throfaer Magmafinger
Noraldruck Leatherbane
Khourdromli Goldenfinger
Strovrurum Orcback
Housdrerlug Fieryhood
Sikdroth Nightback
Hurgug Silvermaul
Lolmim Jadehead
Yorraic Bottlebrand
Krafraeg Platehide
Filgerlug Gravelmantle
Houdruk Boulderbuster
Mostat Cragbelly
Strokamli Bristlebreaker
Fifarlun Chaospike
Noravromli Brewborn
Broutdrear Metalsword
Hemmurim Flintbeard
Hatgrumli Coalshield
Yulgec Strongpike
Brodur Granitefeet
Bruseal Shattersword
Noboir Shadowtank
Kasam Warmchin
Voldrud Flintback
Nesuc Blessedminer
Whukhoth Bonespine
Kuggak Graychest
Therdraet Bloodblade
Fivoic Strongbrew
Gargrunri Hornmail
Narmas Magmabrewer
Normumin Bristlespine
Forhomri Longback
Marraen Greybelt
Loggaed Snowsunder
Varfin Ingotbasher
Houzzurim Sapphireborn
Thrarrerlun Fierybasher
Kidmerlum Chainforge
Durgrut Thunderchin
Alfothod Honorfall
Torerdolin Orebeard
Nordrot Treasurebow
Dulgrel Trollshield
Afrom Minefinger
Nevolir Nightfury
Bhaghead Boneaxe
Yosgrarlug Smeltdelver
Thongrurum Dragonfoot
Groorfunri Frostview
Dedreth Flintcloak
Glorikdreat Marblechest
Kokholi Blackmantle
Krodgrear Ashmane
Kikkomli Wyvernbraids
Dhukhot Silverchin
Beznod Smeltguard
Besgrag Coinbranch
Toremmath Pebblebringer
Bevrour Wyvernhand
Ranmeck Bonedelver
Grordorlum Nobleshaper
Glaner Oakgrog
Kherberlig Heavygut
Mulumi Caskshaper
Thondrag Flaskhand
Golgraet Stormbelt
Hafarlum Redminer
Norsith Longarmour
Nurastorlun Leadrock
Dorabic Steeldigger
Jangrumlir Thunderbrewer
Reildrarlun Magmabrewer
Fomrean Embergrip
Thetgrael Deepaxe
Babratum Coppersunder
Uggean Onyxbuckle
Dwotgrac Gravelcoat
Dardroud Emberfoot
Snarbour Blazingbuckle
Dorasdrer Ironforged
Lornal Brighthorn
Glangraec Flasksunder
Bhammumlir Sapphireriver
Sangrorlig Heavysunder
Werassoug Flatborn
Yarraer Boulderfury
Skamami Chainbringer
Bosoki Chainbringer
Brasgrumi Orcshaper
Grorbomli Twilightfeet
Glorilol Platetoe
Arakhatin Stormbelly
Werasseag Heavydelver
Sarnerlug Grayhand
Kokkem Goldfury
Besterlig Wyverntank
Glorizack Bristlebrand
Jograeth Dimbraids
Kralaes Thundermantle
Vofeag Bouldermaker
Grazzaic Blessedhand
Thorgrolir Hammerhide
Turnirlun Underpike
Mafaic Broadbraids
Bosaic Warfoot
Husotir Smeltborn
Groovoun Snowforge
Throrrean Magmafinger
