Zilrug Berrybraid
Panaji Flickerbraid
Wardon Babblepeak
Dorlen Longhand
Salkur Billowfirn
Valji Hidlefidle
Graner Milrateg
Sarug Zarcenir
Salcorin Pimleron
Salen Foplesople
Enicryn Truecraft
Sallin Bronzekind
Panayur Fiddlegift
Horwin Bronzesong
Quatix Longbonk
Wilser Raangisiter
Enilen Ukkedasen
Xalser Degglezeggle
Enifan Orebedos
Sinjin Tifuboror
Jolys Deepboot
Zinmyra Marblespan
Reci Sparklecollar
Welgyra Shadowmantle
Inakasys Fapplefall
Ornove Gonnoba
Alusany Gengonas
Selwyse Sadlebedle
Yokini Dargotan
Receli Lusetel
Zilji Darkfen
Ronpos Flickerfern
Sinzu Singlekind
Quoner Dazzlebranch
Dorrick Silverfen
Lanbis Rargoters
Panatix Suppal
Lotor Hodleledle
Yoscorin Bemludel
Lolin Lumlibomp
Krigyra Flukewander
Ufeceli Broadcase
Dosany Billowflight
Tifaniana Togglegrace
Nyniana Wagglefirn
Xyroxi Namblepemble
Welxi Dembedesal
Eilissa Negglepaggle
Tayore Wonbodack
Odaxi Tebleteble
Jorser Dazzlefront
Lanrug Briskmantle
Ianrug Fizzlemask
Jedri Ironhold
Umwin Starkfall
Brimop Meemmog
Sallen Fecklegockle
Hisfiz Taanbisarel
Urihim Pulnate
Vorwin Dilwetes
Samila Toggleheart
Jelkasys Bafflereach
Zanilys Thunderreach
Carmyra Marblerock
Welnoa Wildfern
Zanici Emplodare
Tifagyra Tepleseple
Helqaryn Zodlezadle
Primyra Nimpoten
Selyaris Ramplegemple
Tralin Wigglebraid
Wrerug Cobbleflight
Graros Stouthide
Ariyur Longbell
Corhik Briskmane
Xomop Borgoball
Jepos Webblesibble
Sagrim Hibblehabble
Hislen Boplepople
Urimop Bamplabars
